TIME,TEMP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:16,37,0.081,0.083,0.084,0.082,0.081,0.081,0.081,0.082,0.083,0.083,0.085,0.083,0.082,0.098,0.098,0.1,0.095,0.098,0.09,0.092,0.093,0.092,0.093,0.083,0.082,0.09,0.09,0.088,0.088,0.088,0.089,0.092,0.092,0.091,0.091,0.082,0.081,0.089,0.089,0.089,0.09,0.09,0.091,0.092,0.092,0.091,0.091,0.081,0.082,0.09,0.09,0.09,0.09,0.091,0.093,0.092,0.092,0.091,0.09,0.082,0.082,0.086,0.085,0.085,0.087,0.085,0.09,0.091,0.092,0.093,0.091,0.082,0.082,0.093,0.094,0.094,0.092,0.091,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.083,0.082,0.081,0.085,0.08,0.081,0.081,0.081,0.082,0.082,0.081
0:19:16,37,0.081,0.083,0.084,0.082,0.081,0.081,0.081,0.082,0.083,0.083,0.085,0.083,0.082,0.103,0.102,0.103,0.099,0.102,0.092,0.096,0.097,0.096,0.096,0.083,0.082,0.092,0.093,0.09,0.091,0.089,0.093,0.096,0.095,0.094,0.092,0.082,0.081,0.091,0.091,0.091,0.091,0.092,0.09,0.091,0.092,0.091,0.091,0.081,0.082,0.091,0.091,0.091,0.092,0.091,0.093,0.093,0.092,0.092,0.09,0.082,0.082,0.085,0.085,0.085,0.086,0.085,0.091,0.093,0.091,0.092,0.092,0.082,0.081,0.092,0.095,0.096,0.093,0.091,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.082,0.082,0.081,0.084,0.08,0.081,0.081,0.081,0.082,0.082,0.081
0:29:16,37,0.081,0.083,0.084,0.082,0.081,0.081,0.081,0.082,0.083,0.083,0.085,0.083,0.082,0.107,0.107,0.109,0.106,0.106,0.096,0.1,0.1,0.1,0.098,0.083,0.082,0.096,0.095,0.092,0.092,0.09,0.094,0.097,0.096,0.097,0.096,0.082,0.081,0.092,0.093,0.093,0.094,0.093,0.095,0.096,0.096,0.095,0.095,0.081,0.081,0.092,0.092,0.091,0.091,0.093,0.095,0.096,0.095,0.095,0.094,0.082,0.082,0.085,0.085,0.085,0.086,0.085,0.093,0.093,0.095,0.096,0.094,0.082,0.081,0.096,0.098,0.099,0.096,0.095,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.082,0.082,0.081,0.084,0.08,0.081,0.081,0.081,0.082,0.082,0.081
0:39:16,37,0.081,0.083,0.084,0.082,0.081,0.081,0.081,0.082,0.083,0.083,0.085,0.083,0.082,0.113,0.113,0.119,0.115,0.117,0.101,0.104,0.106,0.105,0.104,0.083,0.082,0.102,0.103,0.1,0.1,0.098,0.098,0.102,0.101,0.101,0.099,0.082,0.081,0.095,0.097,0.097,0.097,0.097,0.098,0.099,0.099,0.099,0.098,0.081,0.082,0.097,0.096,0.096,0.095,0.096,0.099,0.1,0.099,0.099,0.097,0.082,0.082,0.085,0.085,0.085,0.086,0.085,0.096,0.098,0.099,0.099,0.098,0.083,0.082,0.1,0.102,0.103,0.1,0.099,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.082,0.082,0.081,0.084,0.08,0.081,0.081,0.081,0.082,0.082,0.081
0:49:16,37,0.081,0.083,0.084,0.082,0.081,0.081,0.081,0.082,0.083,0.083,0.085,0.083,0.082,0.124,0.122,0.127,0.122,0.127,0.106,0.109,0.11,0.109,0.108,0.083,0.082,0.103,0.104,0.101,0.102,0.1,0.103,0.105,0.106,0.104,0.102,0.082,0.081,0.1,0.101,0.1,0.101,0.102,0.103,0.105,0.104,0.102,0.102,0.081,0.082,0.105,0.1,0.099,0.099,0.1,0.104,0.103,0.102,0.102,0.101,0.082,0.082,0.085,0.085,0.085,0.086,0.085,0.101,0.105,0.104,0.104,0.101,0.082,0.082,0.108,0.11,0.11,0.107,0.105,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.082,0.082,0.081,0.084,0.08,0.081,0.081,0.081,0.082,0.082,0.082
0:59:16,37,0.081,0.084,0.084,0.082,0.081,0.081,0.081,0.083,0.083,0.083,0.085,0.084,0.082,0.133,0.129,0.134,0.13,0.134,0.114,0.114,0.115,0.115,0.113,0.083,0.082,0.107,0.103,0.105,0.105,0.104,0.11,0.112,0.113,0.111,0.106,0.082,0.081,0.105,0.106,0.105,0.105,0.107,0.108,0.109,0.109,0.108,0.106,0.081,0.082,0.112,0.105,0.105,0.103,0.104,0.109,0.108,0.107,0.107,0.106,0.083,0.082,0.085,0.085,0.085,0.086,0.085,0.106,0.109,0.109,0.108,0.105,0.083,0.082,0.115,0.115,0.115,0.112,0.111,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.083,0.082,0.081,0.084,0.08,0.081,0.081,0.082,0.082,0.082,0.082
1:09:16,37,0.081,0.084,0.084,0.083,0.081,0.081,0.081,0.083,0.083,0.083,0.085,0.084,0.082,0.145,0.141,0.145,0.141,0.146,0.126,0.129,0.129,0.127,0.126,0.083,0.082,0.115,0.111,0.114,0.113,0.112,0.117,0.119,0.118,0.115,0.112,0.082,0.081,0.111,0.113,0.111,0.111,0.112,0.116,0.117,0.117,0.115,0.112,0.081,0.082,0.116,0.112,0.111,0.109,0.109,0.115,0.114,0.113,0.113,0.111,0.082,0.082,0.085,0.085,0.085,0.087,0.085,0.111,0.116,0.115,0.114,0.111,0.083,0.082,0.12,0.121,0.122,0.118,0.117,0.08,0.081,0.082,0.081,0.083,0.081,0.083,0.083,0.082,0.081,0.084,0.08,0.081,0.081,0.082,0.082,0.082,0.082
1:19:16,37,0.081,0.084,0.084,0.083,0.082,0.081,0.081,0.083,0.083,0.083,0.085,0.084,0.082,0.158,0.154,0.158,0.15,0.159,0.143,0.139,0.14,0.137,0.138,0.083,0.082,0.121,0.118,0.126,0.12,0.119,0.125,0.127,0.127,0.123,0.119,0.082,0.081,0.117,0.12,0.118,0.118,0.118,0.124,0.126,0.125,0.123,0.119,0.081,0.082,0.123,0.12,0.118,0.116,0.116,0.123,0.121,0.12,0.121,0.118,0.083,0.082,0.085,0.085,0.085,0.087,0.085,0.117,0.124,0.123,0.121,0.118,0.083,0.082,0.127,0.129,0.13,0.126,0.124,0.08,0.081,0.082,0.082,0.083,0.082,0.083,0.083,0.082,0.081,0.085,0.08,0.081,0.081,0.082,0.083,0.082,0.082
1:29:16,37,0.081,0.084,0.084,0.083,0.082,0.081,0.081,0.083,0.083,0.084,0.085,0.084,0.082,0.172,0.168,0.173,0.162,0.172,0.15,0.157,0.156,0.151,0.157,0.083,0.082,0.137,0.127,0.131,0.129,0.127,0.134,0.136,0.136,0.132,0.126,0.082,0.082,0.124,0.127,0.124,0.125,0.126,0.133,0.133,0.134,0.131,0.127,0.081,0.082,0.133,0.129,0.127,0.124,0.122,0.131,0.13,0.129,0.129,0.126,0.083,0.082,0.085,0.085,0.085,0.087,0.085,0.126,0.136,0.132,0.13,0.126,0.083,0.082,0.138,0.14,0.141,0.137,0.135,0.081,0.081,0.083,0.082,0.083,0.082,0.083,0.083,0.082,0.081,0.085,0.081,0.081,0.081,0.082,0.083,0.082,0.082
1:39:16,36.9,0.081,0.084,0.084,0.083,0.082,0.081,0.081,0.083,0.083,0.083,0.085,0.084,0.082,0.189,0.188,0.192,0.174,0.19,0.16,0.166,0.167,0.165,0.164,0.083,0.082,0.14,0.136,0.137,0.136,0.133,0.144,0.146,0.147,0.142,0.138,0.082,0.081,0.131,0.136,0.134,0.134,0.135,0.148,0.148,0.147,0.144,0.139,0.081,0.082,0.145,0.139,0.137,0.134,0.133,0.145,0.143,0.142,0.142,0.137,0.083,0.082,0.085,0.085,0.085,0.087,0.085,0.14,0.143,0.145,0.142,0.137,0.083,0.082,0.152,0.152,0.154,0.15,0.148,0.08,0.081,0.083,0.082,0.083,0.082,0.083,0.083,0.082,0.081,0.085,0.08,0.081,0.081,0.082,0.083,0.082,0.082
