Time,Temp,B7,B8,B9,B10,B11,C7,C8,C9,C10,C11,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0:09:10,37,0.934,0.377,0.094,0.1,0.481,0.119,0.084,0.084,0.086,0.083,0.375,0.133,0.084,0.084,0.201,0.115,0.116,0.116,0.113,0.112,0.114,0.111,0.109,0.113,0.109,0.085,0.095,0.085,0.085,0.085,0.084,0.086,0.085,0.084,0.084,0.088,0.086,0.085,0.086,0.084,0.083,0.085,0.084,0.085,0.085
0:19:10,37,0.97,0.403,0.095,0.1,0.499,0.117,0.084,0.084,0.085,0.083,0.394,0.137,0.084,0.084,0.209,0.115,0.118,0.116,0.114,0.114,0.111,0.113,0.11,0.109,0.109,0.085,0.091,0.085,0.086,0.085,0.084,0.086,0.085,0.084,0.084,0.088,0.085,0.085,0.086,0.084,0.083,0.085,0.084,0.084,0.084
0:29:10,37,0.996,0.412,0.096,0.102,0.508,0.114,0.084,0.084,0.085,0.083,0.418,0.144,0.084,0.084,0.221,0.121,0.118,0.116,0.114,0.115,0.11,0.11,0.11,0.108,0.108,0.085,0.094,0.085,0.085,0.085,0.084,0.086,0.085,0.084,0.084,0.088,0.085,0.085,0.086,0.084,0.083,0.085,0.084,0.085,0.084
0:39:10,37,1.016,0.416,0.097,0.104,0.517,0.119,0.084,0.083,0.085,0.083,0.449,0.152,0.084,0.084,0.238,0.126,0.118,0.12,0.116,0.115,0.11,0.11,0.109,0.108,0.108,0.086,0.089,0.085,0.085,0.085,0.084,0.086,0.085,0.084,0.084,0.089,0.085,0.085,0.086,0.084,0.082,0.085,0.084,0.085,0.084
0:49:10,37,1.031,0.418,0.098,0.106,0.525,0.115,0.084,0.084,0.085,0.083,0.482,0.161,0.084,0.084,0.255,0.121,0.12,0.12,0.117,0.116,0.11,0.11,0.109,0.107,0.108,0.086,0.102,0.085,0.086,0.085,0.084,0.086,0.085,0.084,0.084,0.09,0.085,0.085,0.086,0.087,0.083,0.085,0.084,0.085,0.084
0:59:10,37.1,1.041,0.422,0.1,0.108,0.533,0.111,0.084,0.084,0.085,0.083,0.515,0.171,0.084,0.084,0.274,0.126,0.122,0.119,0.118,0.118,0.116,0.109,0.11,0.11,0.107,0.087,0.093,0.085,0.086,0.085,0.084,0.086,0.085,0.084,0.084,0.091,0.087,0.086,0.086,0.088,0.083,0.085,0.084,0.085,0.084
1:09:10,37,1.039,0.426,0.101,0.11,0.541,0.116,0.084,0.084,0.085,0.083,0.54,0.182,0.084,0.084,0.29,0.123,0.124,0.121,0.12,0.121,0.109,0.111,0.11,0.107,0.11,0.087,0.089,0.085,0.085,0.085,0.084,0.086,0.085,0.084,0.084,0.092,0.087,0.086,0.087,0.089,0.083,0.085,0.084,0.084,0.084
1:19:10,37,1.036,0.432,0.103,0.113,0.549,0.114,0.084,0.084,0.085,0.083,0.569,0.194,0.084,0.084,0.306,0.127,0.125,0.123,0.122,0.123,0.109,0.111,0.111,0.107,0.108,0.088,0.09,0.085,0.086,0.085,0.084,0.086,0.085,0.084,0.084,0.093,0.088,0.088,0.088,0.09,0.083,0.085,0.084,0.085,0.084
1:29:10,37,1.034,0.438,0.105,0.116,0.556,0.114,0.084,0.084,0.085,0.083,0.597,0.206,0.084,0.084,0.321,0.132,0.129,0.126,0.125,0.124,0.108,0.112,0.157,0.108,0.112,0.088,0.088,0.086,0.086,0.088,0.084,0.086,0.085,0.084,0.084,0.094,0.089,0.089,0.088,0.09,0.083,0.085,0.084,0.085,0.084
1:39:10,37,1.031,0.443,0.108,0.119,0.564,0.114,0.084,0.084,0.085,0.083,0.625,0.219,0.084,0.084,0.336,0.134,0.135,0.13,0.128,0.127,0.134,0.11,0.147,0.106,0.178,0.089,0.089,0.086,0.086,0.085,0.084,0.086,0.085,0.084,0.084,0.095,0.089,0.09,0.089,0.091,0.083,0.085,0.084,0.085,0.084
1:49:10,37,1.032,0.449,0.11,0.122,0.571,0.122,0.084,0.084,0.085,0.083,0.651,0.228,0.084,0.085,0.351,0.14,0.143,0.137,0.137,0.132,0.129,0.109,0.133,0.146,0.164,0.089,0.089,0.088,0.086,0.086,0.084,0.086,0.085,0.084,0.084,0.097,0.09,0.091,0.09,0.091,0.083,0.085,0.084,0.085,0.084
1:59:10,37,1.033,0.451,0.112,0.125,0.577,0.12,0.084,0.084,0.085,0.083,0.676,0.237,0.084,0.085,0.365,0.148,0.147,0.14,0.141,0.139,0.157,0.118,0.177,0.122,0.14,0.09,0.09,0.089,0.087,0.086,0.084,0.086,0.085,0.084,0.084,0.098,0.091,0.092,0.091,0.091,0.083,0.085,0.084,0.085,0.084
2:09:10,37,1.034,0.456,0.115,0.129,0.583,0.124,0.084,0.084,0.086,0.083,0.703,0.25,0.084,0.085,0.378,0.159,0.158,0.148,0.144,0.145,0.148,0.139,0.16,0.167,0.106,0.092,0.091,0.089,0.088,0.086,0.084,0.086,0.085,0.084,0.084,0.1,0.092,0.093,0.092,0.091,0.083,0.085,0.084,0.085,0.085
2:19:10,37,1.036,0.459,0.117,0.133,0.588,0.111,0.084,0.084,0.085,0.083,0.728,0.259,0.084,0.085,0.393,0.17,0.167,0.158,0.15,0.151,0.154,0.156,0.18,0.12,0.117,0.093,0.093,0.09,0.089,0.087,0.084,0.086,0.085,0.084,0.084,0.102,0.094,0.095,0.093,0.091,0.083,0.085,0.084,0.085,0.084
2:29:10,37,1.043,0.463,0.12,0.136,0.594,0.114,0.084,0.084,0.085,0.083,0.754,0.268,0.084,0.086,0.404,0.178,0.179,0.167,0.158,0.161,0.105,0.136,0.151,0.108,0.106,0.094,0.094,0.091,0.09,0.089,0.084,0.086,0.085,0.084,0.084,0.104,0.095,0.096,0.094,0.092,0.083,0.085,0.084,0.085,0.084
