time,temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.086,0.087,0.084,0.089,0.087,0.086,0.088,0.431,0.136,0.089,0.087,0.089,0.085,0.089,0.091,0.089,0.091,0.092,0.09,0.465,0.146,0.09,0.089,0.088,0.087,0.377,0.116,0.091,0.092,0.091,0.095,0.49,0.165,0.09,0.091,0.09,0.088,0.09,0.09,0.089,0.091,0.091,0.093,0.513,0.177,0.084,0.089,0.088,0.089,0.089,0.091,0.089,0.091,0.093,0.093,0.492,0.158,0.079,0.09,0.091,0.088,0.089,0.09,0.09,0.092,0.091,0.09,0.425,0.135,0.089,0.093,0.089,0.088,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
0:19:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.087,0.084,0.089,0.087,0.086,0.088,0.434,0.137,0.089,0.087,0.088,0.085,0.089,0.091,0.089,0.09,0.092,0.09,0.475,0.147,0.089,0.089,0.088,0.087,0.381,0.115,0.09,0.091,0.091,0.095,0.491,0.167,0.09,0.091,0.09,0.087,0.09,0.09,0.089,0.09,0.091,0.092,0.522,0.178,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.496,0.159,0.085,0.09,0.092,0.088,0.089,0.089,0.09,0.091,0.091,0.09,0.428,0.135,0.085,0.093,0.089,0.088,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.087,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
0:29:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.435,0.136,0.089,0.087,0.088,0.085,0.089,0.091,0.089,0.09,0.092,0.089,0.469,0.148,0.089,0.089,0.088,0.087,0.384,0.116,0.09,0.091,0.091,0.094,0.493,0.168,0.09,0.091,0.09,0.087,0.09,0.09,0.088,0.09,0.091,0.092,0.526,0.179,0.083,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.49,0.16,0.082,0.09,0.091,0.088,0.089,0.089,0.09,0.091,0.091,0.09,0.43,0.134,0.082,0.092,0.089,0.088,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.087,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
0:39:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.438,0.136,0.089,0.087,0.088,0.085,0.089,0.091,0.089,0.09,0.092,0.089,0.467,0.148,0.089,0.089,0.088,0.087,0.385,0.116,0.09,0.091,0.091,0.094,0.496,0.169,0.091,0.091,0.089,0.087,0.09,0.09,0.088,0.09,0.091,0.092,0.529,0.181,0.083,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.49,0.161,0.082,0.09,0.091,0.087,0.089,0.089,0.09,0.091,0.091,0.09,0.432,0.136,0.081,0.092,0.089,0.088,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.087,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
0:49:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.439,0.136,0.089,0.087,0.088,0.085,0.089,0.091,0.089,0.09,0.092,0.09,0.465,0.149,0.089,0.089,0.088,0.087,0.387,0.117,0.09,0.091,0.091,0.094,0.495,0.17,0.091,0.09,0.089,0.087,0.09,0.09,0.088,0.09,0.091,0.092,0.529,0.181,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.484,0.162,0.082,0.09,0.09,0.088,0.089,0.089,0.09,0.092,0.091,0.09,0.436,0.136,0.082,0.093,0.089,0.088,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.087,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
0:59:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.441,0.136,0.089,0.086,0.088,0.085,0.089,0.091,0.09,0.092,0.092,0.09,0.465,0.15,0.089,0.089,0.088,0.087,0.395,0.117,0.09,0.092,0.091,0.095,0.499,0.172,0.092,0.09,0.089,0.087,0.09,0.09,0.089,0.09,0.091,0.092,0.532,0.183,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.485,0.165,0.082,0.09,0.09,0.088,0.089,0.089,0.09,0.091,0.091,0.09,0.442,0.138,0.082,0.093,0.089,0.089,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.087,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
1:09:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.445,0.137,0.089,0.086,0.089,0.085,0.089,0.091,0.089,0.094,0.092,0.089,0.467,0.151,0.09,0.089,0.088,0.087,0.398,0.118,0.09,0.091,0.091,0.095,0.498,0.173,0.092,0.091,0.089,0.087,0.09,0.09,0.088,0.09,0.091,0.092,0.533,0.184,0.084,0.088,0.087,0.088,0.089,0.091,0.088,0.091,0.093,0.093,0.484,0.167,0.082,0.09,0.09,0.088,0.089,0.089,0.09,0.091,0.091,0.09,0.447,0.14,0.081,0.093,0.089,0.089,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.087,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.09
1:19:10,36.9,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.445,0.136,0.09,0.086,0.089,0.085,0.089,0.091,0.089,0.091,0.092,0.09,0.466,0.153,0.09,0.089,0.087,0.087,0.401,0.119,0.09,0.091,0.091,0.094,0.498,0.175,0.092,0.091,0.089,0.087,0.09,0.09,0.089,0.09,0.091,0.092,0.535,0.186,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.484,0.17,0.082,0.09,0.09,0.088,0.089,0.09,0.09,0.092,0.091,0.09,0.455,0.142,0.082,0.093,0.09,0.089,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.087,0.085,0.091,0.088,0.088,0.091
1:29:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.086,0.086,0.084,0.089,0.087,0.086,0.088,0.448,0.137,0.09,0.086,0.089,0.085,0.089,0.091,0.089,0.091,0.092,0.089,0.468,0.153,0.09,0.089,0.087,0.087,0.408,0.12,0.09,0.091,0.091,0.094,0.498,0.177,0.092,0.09,0.089,0.087,0.09,0.09,0.088,0.09,0.091,0.092,0.536,0.188,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.487,0.173,0.082,0.09,0.091,0.088,0.089,0.089,0.09,0.092,0.091,0.09,0.465,0.145,0.081,0.094,0.089,0.089,0.09,0.09,0.091,0.091,0.09,0.085,0.088,0.089,0.088,0.087,0.087,0.087,0.086,0.091,0.088,0.088,0.091
1:39:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.448,0.138,0.09,0.087,0.089,0.085,0.089,0.091,0.089,0.093,0.093,0.09,0.468,0.155,0.09,0.089,0.088,0.087,0.416,0.122,0.09,0.091,0.091,0.095,0.498,0.179,0.092,0.091,0.089,0.088,0.09,0.09,0.088,0.09,0.091,0.092,0.541,0.191,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.492,0.177,0.082,0.09,0.091,0.088,0.089,0.089,0.09,0.092,0.091,0.09,0.476,0.148,0.082,0.094,0.09,0.09,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.087,0.086,0.091,0.088,0.088,0.091
